date,country,cases_cumulative,deaths_cumulative,recovered_cumulative
1/22/20,turkey,0,0,0
1/23/20,turkey,0,0,0
1/24/20,turkey,0,0,0
1/25/20,turkey,0,0,0
1/26/20,turkey,0,0,0
1/27/20,turkey,0,0,0
1/28/20,turkey,0,0,0
1/29/20,turkey,0,0,0
1/30/20,turkey,0,0,0
1/31/20,turkey,0,0,0
2/1/20,turkey,0,0,0
2/2/20,turkey,0,0,0
2/3/20,turkey,0,0,0
2/4/20,turkey,0,0,0
2/5/20,turkey,0,0,0
2/6/20,turkey,0,0,0
2/7/20,turkey,0,0,0
2/8/20,turkey,0,0,0
2/9/20,turkey,0,0,0
2/10/20,turkey,0,0,0
2/11/20,turkey,0,0,0
2/12/20,turkey,0,0,0
2/13/20,turkey,0,0,0
2/14/20,turkey,0,0,0
2/15/20,turkey,0,0,0
2/16/20,turkey,0,0,0
2/17/20,turkey,0,0,0
2/18/20,turkey,0,0,0
2/19/20,turkey,0,0,0
2/20/20,turkey,0,0,0
2/21/20,turkey,0,0,0
2/22/20,turkey,0,0,0
2/23/20,turkey,0,0,0
2/24/20,turkey,0,0,0
2/25/20,turkey,0,0,0
2/26/20,turkey,0,0,0
2/27/20,turkey,0,0,0
2/28/20,turkey,0,0,0
2/29/20,turkey,0,0,0
3/1/20,turkey,0,0,0
3/2/20,turkey,0,0,0
3/3/20,turkey,0,0,0
3/4/20,turkey,0,0,0
3/5/20,turkey,0,0,0
3/6/20,turkey,0,0,0
3/7/20,turkey,0,0,0
3/8/20,turkey,0,0,0
3/9/20,turkey,0,0,0
3/10/20,turkey,0,0,0
3/11/20,turkey,1,0,0
3/12/20,turkey,1,0,0
3/13/20,turkey,5,0,0
3/14/20,turkey,5,0,0
3/15/20,turkey,6,0,0
3/16/20,turkey,18,0,0
3/17/20,turkey,47,1,0
3/18/20,turkey,98,1,0
3/19/20,turkey,192,3,0
3/20/20,turkey,359,4,0
3/21/20,turkey,670,9,0
3/22/20,turkey,1236,30,0
3/23/20,turkey,1529,37,0
3/24/20,turkey,1872,44,0
3/25/20,turkey,2433,59,26
3/26/20,turkey,3629,75,26
3/27/20,turkey,5698,92,42
3/28/20,turkey,7402,108,70
3/29/20,turkey,9217,131,105
3/30/20,turkey,10827,168,162
3/31/20,turkey,13531,214,243
4/1/20,turkey,15679,277,333
4/2/20,turkey,18135,356,415
4/3/20,turkey,20921,425,484
4/4/20,turkey,23934,501,786
4/5/20,turkey,27069,574,1042
4/6/20,turkey,30217,649,1326
4/7/20,turkey,34109,725,1582
4/8/20,turkey,38226,812,1846
4/9/20,turkey,42282,908,2142
4/10/20,turkey,47029,1006,2423
4/11/20,turkey,52167,1101,2965
4/12/20,turkey,56956,1198,3446
4/13/20,turkey,61049,1296,3957
4/14/20,turkey,65111,1403,4799
4/15/20,turkey,69392,1518,5674
4/16/20,turkey,74193,1643,7089
4/17/20,turkey,78546,1769,8631
4/18/20,turkey,82329,1890,10453
4/19/20,turkey,86306,2017,11976
4/20/20,turkey,90980,2140,13430
4/21/20,turkey,95591,2259,14918
4/22/20,turkey,98674,2376,16477
4/23/20,turkey,101790,2491,18491
4/24/20,turkey,104912,2600,21737
4/25/20,turkey,107773,2706,25582
4/26/20,turkey,110130,2805,29140
4/27/20,turkey,112261,2900,33791
4/28/20,turkey,114653,2992,38809
4/29/20,turkey,117589,3081,44040
4/30/20,turkey,120204,3174,48886
5/1/20,turkey,122392,3258,53808
5/2/20,turkey,124375,3336,58259
5/3/20,turkey,126045,3397,63151
5/4/20,turkey,127659,3461,68166
5/5/20,turkey,129491,3520,73285
5/6/20,turkey,131744,3584,78202
5/7/20,turkey,133721,3641,82984
5/8/20,turkey,135569,3689,86396
5/9/20,turkey,137115,3739,89480
5/10/20,turkey,138657,3786,92691
5/11/20,turkey,139771,3841,95780
5/12/20,turkey,141475,3894,98889
5/13/20,turkey,143114,3952,101715
5/14/20,turkey,144749,4007,104030
5/15/20,turkey,146457,4055,106133
5/16/20,turkey,148067,4096,108137
5/17/20,turkey,149435,4140,109962
5/18/20,turkey,150593,4171,111577
5/19/20,turkey,151615,4199,112895
5/20/20,turkey,152587,4222,113987
5/21/20,turkey,153548,4249,114990
5/22/20,turkey,154500,4276,116111
5/23/20,turkey,155686,4308,117602
5/24/20,turkey,156827,4340,118694
5/25/20,turkey,157814,4369,120015
5/26/20,turkey,158762,4397,121507
5/27/20,turkey,159797,4431,122793
5/28/20,turkey,160979,4461,124369
5/29/20,turkey,162120,4489,125963
5/30/20,turkey,163103,4515,126984
5/31/20,turkey,163942,4540,127973
6/1/20,turkey,164769,4563,128947
6/2/20,turkey,165555,4585,129921
6/3/20,turkey,166422,4609,130852
6/4/20,turkey,167410,4630,131778
6/5/20,turkey,168340,4648,133400
6/6/20,turkey,169218,4669,135322
6/7/20,turkey,170132,4692,137969
6/8/20,turkey,171121,4711,141380
6/9/20,turkey,172114,4729,144598
6/10/20,turkey,173036,4746,146839
6/11/20,turkey,174023,4763,147860
6/12/20,turkey,175218,4778,149102
6/13/20,turkey,176677,4792,150087
6/14/20,turkey,178239,4807,151417
6/15/20,turkey,179831,4825,152364
6/16/20,turkey,181298,4842,153379
6/17/20,turkey,182727,4861,154640
6/18/20,turkey,184031,4882,156022
6/19/20,turkey,185245,4905,157516
6/20/20,turkey,186493,4927,158828
6/21/20,turkey,187685,4950,160240
6/22/20,turkey,188897,4974,161533
6/23/20,turkey,190165,5001,162848
6/24/20,turkey,191657,5025,164234
6/25/20,turkey,193115,5046,165706
6/26/20,turkey,194511,5065,167198
6/27/20,turkey,195883,5082,169182
6/28/20,turkey,197239,5097,170595
6/29/20,turkey,198613,5115,171809
6/30/20,turkey,199906,5131,173111
7/1/20,turkey,201098,5150,175422
7/2/20,turkey,202284,5167,176965
7/3/20,turkey,203456,5186,178278
7/4/20,turkey,204610,5206,179492
7/5/20,turkey,205758,5225,180680
7/6/20,turkey,206844,5241,182995
7/7/20,turkey,207897,5260,185292
7/8/20,turkey,208938,5282,187511
7/9/20,turkey,209962,5300,190390
7/10/20,turkey,210965,5323,191883
7/11/20,turkey,211981,5344,193217
7/12/20,turkey,212993,5363,194515
7/13/20,turkey,214001,5382,195671
7/14/20,turkey,214993,5402,196720
7/15/20,turkey,215940,5419,197733
7/16/20,turkey,216873,5440,198820
7/17/20,turkey,217799,5458,199834
7/18/20,turkey,218717,5475,201013
7/19/20,turkey,219641,5491,202010
7/20/20,turkey,220572,5508,203002
7/21/20,turkey,221500,5526,204011
7/22/20,turkey,222402,5545,205214
7/23/20,turkey,223315,5563,206365
7/24/20,turkey,224252,5580,207374
7/25/20,turkey,225173,5596,208477
7/26/20,turkey,226100,5613,209487
7/27/20,turkey,227019,5630,210469
7/28/20,turkey,227982,5645,211561
7/29/20,turkey,228924,5659,212557
7/30/20,turkey,229891,5674,213539
7/31/20,turkey,230873,5691,214535
8/1/20,turkey,231869,5710,215516
8/2/20,turkey,232856,5728,216494
8/3/20,turkey,233851,5747,217497
8/4/20,turkey,234934,5765,218491
8/5/20,turkey,236112,5784,219506
8/6/20,turkey,237265,5798,220546
8/7/20,turkey,238450,5813,221574
8/8/20,turkey,239622,5829,222656
8/9/20,turkey,240804,5844,223759
8/10/20,turkey,241997,5858,224970
8/11/20,turkey,243180,5873,226155
8/12/20,turkey,244392,5891,227089
8/13/20,turkey,245635,5912,228057
8/14/20,turkey,246861,5934,228980
8/15/20,turkey,248117,5955,229972
8/16/20,turkey,249309,5974,230969
8/17/20,turkey,250542,5996,231971
8/18/20,turkey,251805,6016,232913
8/19/20,turkey,253108,6039,233915
8/20/20,turkey,254520,6058,234797
8/21/20,turkey,255723,6080,235569
8/22/20,turkey,257032,6102,236370
8/23/20,turkey,258249,6121,237165
8/24/20,turkey,259692,6139,237908
8/25/20,turkey,261194,6163,238795
8/26/20,turkey,262507,6183,239797
8/27/20,turkey,263998,6209,240792
8/28/20,turkey,265515,6245,241809
8/29/20,turkey,267064,6284,242812
8/30/20,turkey,268546,6326,243839
8/31/20,turkey,270133,6370,244926
